ipeds_id,institution name,year,HD2019.State abbreviation,HD2019.City location of institution,HD2019.State abbreviation.1,HD2019.ZIP code,"DRVIC2019.Tuition and fees, 2018-19","DRVIC2019.Tuition and fees, 2019-20",HD2019.Institution size category,HD2019.State abbreviation.2,HD2019.Sector of institution,HD2019.Level of institution,HD2019.Control of institution,HD2019.Degree-granting status,HD2019.Historically Black College or University,HD2019.Tribal college,HD2019.Degree of urbanization (Urban-centric locale),DRVEF122019.12-month full-time equivalent enrollment: 2018-19
145691,Illinois College,2019,Illinois,Jacksonville,Illinois,62650-2299,33090,33740,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,1044
145725,Illinois Institute of Technology,2019,Illinois,Chicago,Illinois,60616,47646,49280,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,6477
145813,Illinois State University,2019,Illinois,Normal,Illinois,61790-1000,14516,14832,"20,000 and above",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Suburb: Midsize,18919
145646,Illinois Wesleyan University,2019,Illinois,Bloomington,Illinois,61702-2900,47636,50028,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,1690
146366,Kaskaskia College,2019,Illinois,Centralia,Illinois,62801,4470,4560,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,2299
146427,Knox College,2019,Illinois,Galesburg,Illinois,61401-9999,46554,48168,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,1308
146481,Lake Forest College,2019,Illinois,Lake Forest,Illinois,60045-2399,47064,48424,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,1630
146506,Lake Land College,2019,Illinois,Mattoon,Illinois,61938,4110,4130,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Distant,5776
146612,Lewis University,2019,Illinois,Romeoville,Illinois,60446-2200,32450,33430,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,5732
146719,Loyola University Chicago,2019,Illinois,Chicago,Illinois,60660,44048,45543,"10,000 - 19,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,15983
147013,McKendree University,2019,Illinois,Lebanon,Illinois,62254-1291,30520,31640,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,2159
143853,Midwestern University-Downers Grove,2019,Illinois,Downers Grove,Illinois,60515-5514,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,3296
147244,Millikin University,2019,Illinois,Decatur,Illinois,62522-2084,35002,37054,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,2191
147341,Monmouth College,2019,Illinois,Monmouth,Illinois,61462-1998,37674,38990,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,935
147369,Moody Bible Institute,2019,Illinois,Chicago,Illinois,60610-3284,13056,13290,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,2633
147660,North Central College,2019,Illinois,Naperville,Illinois,60540,38880,40040,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,2872
147679,North Park University,2019,Illinois,Chicago,Illinois,60625-4895,29860,31030,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,2421
147776,Northeastern Illinois University,2019,Illinois,Chicago,Illinois,60625-4699,11218,11462,"5,000 - 9,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Large,5711
147703,Northern Illinois University,2019,Illinois,Dekalb,Illinois,60115-2828,14617,14610,"10,000 - 19,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Suburb: Small,14722
147767,Northwestern University,2019,Illinois,Evanston,Illinois,60208,54567,56691,"20,000 and above",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,20172
147828,Olivet Nazarene University,2019,Illinois,Bourbonnais,Illinois,60914-2271,36070,37070,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Small,4364
147916,Parkland College,2019,Illinois,Champaign,Illinois,61821-1899,4920,5130,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,4942
148016,Principia College,2019,Illinois,Elsah,Illinois,62028-9799,29470,30190,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Rural: Fringe,437
148131,Quincy University,2019,Illinois,Quincy,Illinois,62301-2699,28562,30450,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Remote,1122
148405,Rockford University,2019,Illinois,Rockford,Illinois,61108-2311,30930,32100,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,1120
148627,Saint Xavier University,2019,Illinois,Chicago,Illinois,60655,33880,34380,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,3332
143048,School of the Art Institute of Chicago,2019,Illinois,Chicago,Illinois,60603,49310,50920,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,3605
148937,Southeastern Illinois College,2019,Illinois,Harrisburg,Illinois,62946,3960,4020,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Distant,984
149222,Southern Illinois University-Carbondale,2019,Illinois,Carbondale,Illinois,62901-4512,14704,14904,"10,000 - 19,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Small,11440
149231,Southern Illinois University-Edwardsville,2019,Illinois,Edwardsville,Illinois,62026-1259,12132,12219,"10,000 - 19,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Suburb: Large,11754
143215,Southwestern Illinois College,2019,Illinois,Belleville,Illinois,62221-5899,3660,3660,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,6383
144050,University of Chicago,2019,Illinois,Chicago,Illinois,60637,58230,60552,"10,000 - 19,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,16572
148654,University of Illinois at Springfield,2019,Illinois,Springfield,Illinois,62703-5407,11813,11813,"1,000 - 4,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Midsize,3578
145637,University of Illinois at Urbana-Champaign,2019,Illinois,Champaign,Illinois,61820-5711,15094,15122,"20,000 and above",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Small,53117
145600,University of Illinois at Chicago,2019,Illinois,Chicago,Illinois,60607,13764,13874,"20,000 and above",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Large,32004
149772,Western Illinois University,2019,Illinois,Macomb,Illinois,61455,12951,13256,"5,000 - 9,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Town: Remote,7508
149781,Wheaton College,2019,Illinois,Wheaton,Illinois,60187-5593,36420,37700,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,2921
